!,,,,,,,,,,,,+++,,,,,,+++,+++,+++,,,,,
@@,person_id,family_name,first_name,name_lang,sex,rustication,birthyear,deathyear,alt_name,place_of_birth,social_position,narrative_age,neibu_access,source_1,page_1,source_2,page_2,fictionality,narrative_status,commentary,note,created,created_by,last_modified,last_modified_by
+++,P1015,兰陵,笑笑生,zh,male,NULL,1530,1600,NULL,PL0999,,,,https://baike.baidu.com/item/%E5%85%B0%E9%99%B5%E7%AC%91%E7%AC%91%E7%94%9F,ONLINE SOURCE,,,,,,,2019-09-12,MG,2019-10-13,DP
+++,P1016,Kipling,Joseph Rudyard,en,male,NULL,1865,1936,NULL,PL0601,,,,https://en.wikipedia.org/wiki/Rudyard_Kipling,ONLINE SOURCE,,,,,,,2019-09-13,MG,2019-09-13,MG
+++,P1016,吉卜林,约瑟夫 鲁德亚德,zh,male,NULL,1865,1936,NULL,PL0601,,,,https://en.wikipedia.org/wiki/Rudyard_Kipling,ONLINE SOURCE,,,,,,,2019-09-13,MG,2019-09-13,MG
+++,P1017,Choe,Ik-gyu,en,male,NULL,1934,,Choe Sang-gun,PL0603,,,,https://en.wikipedia.org/wiki/Choe_Ik-gyu,ONLINE SOURCE,,,,,,,2019-10-14,MG,2019-10-14,MG
+++,P1017,최,익규,ko,male,NULL,1934,,최상근,PL0603,,,,https://en.wikipedia.org/wiki/Choe_Ik-gyu,ONLINE SOURCE,,,,,,,2019-10-14,MG,2019-10-14,MG
+++,P1017,崔,益奎,zh,male,NULL,1934,,NULL,PL0603,,,,https://en.wikipedia.org/wiki/Choe_Ik-gyu,ONLINE SOURCE,,,,,,,2019-10-14,MG,2019-10-14,MG
+++,P1018,Liu,Xinwu,en,male,yes,1942,,Liu Liu,PL0004,,,,https://en.wikipedia.org/wiki/Liu_Xinwu,ONLINE SOURCE,,,,,,,2019-10-24,MG,2019-10-24,MG
+++,P1018,刘,心武,zh,male,yes,1942,,刘浏,PL0004,,,,https://en.wikipedia.org/wiki/Liu_Xinwu,ONLINE SOURCE,,,,,,,2019-10-24,MG,2019-10-24,MG
+++,P1019,Zhihua,Fang,en,unknown,NULL,1963,,NULL,PL0999,,,,https://www.worldcat.org/identities/lccn-nr95018779/,ONLINE SOURCE,,,,,,,2019-10-24,MG,2019-10-24,MG
+++,P1019,方志,華,zh,unknown,NULL,1963,,NULL,PL0999,,,,https://www.worldcat.org/identities/lccn-nr95018779/,ONLINE SOURCE,,,,,,,2019-10-24,MG,2019-10-24,MG
+++,P1020,anon,Teacher Zhang,en,male,unknown,1940..1960~,,NULL,PL0999,,2,,SS00264,85-120,,,F,N06,,check CCP status (social status),2019-10-24,MG,2019-10-30,MG
+++,P1020,anon,张老师,zh,male,unknown,1940..1960~,,张俊石,PL0999,,2,,SS00264,85-120,,,F,N06,,check CCP status,2019-10-24,MG,2019-10-30,MG
+++,P1021,Shi,Hong,en,female,unknown,1960..1970~,,NULL,PL0999,,1,,SS00264,85-120,,,F,N07,,narrative status,2019-10-24,MG,2019-10-30,MG
+++,P1021,石,红,zh,female,unknown,1960..1970~,,NULL,PL0999,,1,,SS00264,85-120,,,F,N07,,narrative status,2019-10-24,MG,2019-10-30,MG
+++,P1022,Song,Baoqi,en,male,unknown,1960..1970~,,NULL,PL0999,,1,,SS00264,85-120,,,F,N07,the ‘bad’ student (and hoodlum 流氓). Was taken into the class after his release from a detention center X留所  where he’d been arrested for gang criminality,narrative status,2019-10-24,MG,2019-10-30,MG
+++,P1022,宋,宝琪,zh,male,unknown,1960..1970~,,NULL,PL0999,,1,,SS00264,85-120,,,F,N07,the ‘bad’ student (and hoodlum 流氓). Was taken into the class after his release from a detention center X留所  where he’d been arrested for gang criminality,narrative status,2019-10-24,MG,2019-10-30,MG
+++,P1023,Xie,Huimin,en,female,unknown,1960..1970~,,NULL,PL0999,S10,1,,SS00264,85-120,,,F,N07,activist student; pretty stubborn and wants to do everything right; but still seems under the spell of what the GoF taught her. XHM is characterized as a ‘typical’ CR reader who loves to read but has limited access and believes everything the party writes; back then her parents advised her to read the newspaper diligently (ENG 96),narrative status,2019-10-24,MG,2019-11-08,MG
+++,P1023,谢,惠敏,zh,female,unknown,1960..1970~,,NULL,PL0999,S10,1,,SS00264,85-120,,,F,N07,activist student; pretty stubborn and wants to do everything right; but still seems under the spell of what the GoF taught her,narrative status,2019-10-24,MG,2019-10-30,MG
+++,P1024,Panteleev,Leonid,en,male,NULL,1908,1987,Aleksey Eremeev,PL0058,,,,https://baike.baidu.com/item/%E7%8F%AD%E5%8F%B0%E8%8E%B1%E8%80%B6%E5%A4%AB,ONLINE SOURCE,,,,,,,2019-10-30,MG,2019-10-30,MG
+++,P1024,Пантеле́ев,Лёнька,ru,male,NULL,1908,1987,NULL,PL0058,,,,https://baike.baidu.com/item/%E7%8F%AD%E5%8F%B0%E8%8E%B1%E8%80%B6%E5%A4%AB,ONLINE SOURCE,,,,,,,2019-10-30,MG,2019-10-30,MG
+++,P1024,班台莱耶夫,,zh,male,NULL,1908,1987,NULL,PL0058,,,,https://baike.baidu.com/item/%E7%8F%AD%E5%8F%B0%E8%8E%B1%E8%80%B6%E5%A4%AB,ONLINE SOURCE,,,,,,,2019-10-30,MG,2019-10-30,MG
+++,P1025,沈,德鸿,en,male,no,1896,1981,茅盾,PL0604,,,,https://en.wikipedia.org/wiki/Mao_Dun,ONLINE SOURCE,,,,,,,2019-11-08,MG,2019-11-08,MG
+++,P1025,Shen,Dehong,zh,male,no,1896,1981,Mao Dun,PL0604,,,,https://en.wikipedia.org/wiki/Mao_Dun,ONLINE SOURCE,,,,,,,2019-11-08,MG,2019-11-08,MG
+++,P1026,Golikov,Arkady,en,male,NULL,1904,1941,Arkady Gaidar,PL0605,,,,https://en.wikipedia.org/wiki/Arkady_Gaidar,ONLINE SOURCE,,,,,,,2019-11-08,MG,2019-11-08,MG
+++,P1026,Го́ликов,Арка́дий,ru,male,NULL,1904,1941,Арка́дий Гайда́р,PL0605,,,,https://en.wikipedia.org/wiki/Arkady_Gaidar,ONLINE SOURCE,,,,,,,2019-11-08,MG,2019-11-08,MG
+++,P1026,盖达尔,阿尔卡季,zh,male,NULL,1904,1941,NULL,PL0605,,,,https://en.wikipedia.org/wiki/Arkady_Gaidar,ONLINE SOURCE,,,,,,,2019-11-08,MG,2019-11-08,MG
+++,P1027,anon,anon,en,male,unknown,1940..1960~,1940..1960~,NULL,PL0999,,2,,SS00264,85-120,,,F,,,,2019-11-22,MG,2019-11-22,MG
+++,P1028,anon,anon,en,female,unknown,1940..1960~,1940..1960~,NULL,PL0999,,2,,SS00264,85-120,,,F,,,,2019-11-22,MG,2019-11-22,MG
+++,P1029,Xin,Qiji,en,male,NULL,1140,1207,NULL,PL0153,,,,https://en.wikipedia.org/wiki/Xin_Qiji,ONLINE SOURCE,,,,,,,2019-11-28,MG,2019-11-28,MG
+++,P1029,辛,棄疾,zh,male,NULL,1140,1207,NULL,PL0153,,,,https://en.wikipedia.org/wiki/Xin_Qiji,ONLINE SOURCE,,,,,,,2019-11-28,MG,2019-11-28,MG
+++,P1030,Lin,Daojing,en,female,NULL,1900..1930~,,NULL,PL0999,,2,,SS00600,,,,F,N06,,pls check place of birth,2019-12-02,MG,2020-05-20,MG
+++,P1030,林,道静,zh,female,NULL,1900..1930~,,NULL,PL0999,,2,,SS00600,,,,F,N06,,pls check place of birth,2019-12-02,MG,2020-05-20,MG
+++,P1031,Yu,Yongze,en,male,NULL,1900..1930~,,NULL,PL0999,,2,,SS00600,,,,F,N07,,pls check place of birth,2019-12-02,MG,2020-05-20,MG
+++,P1031,余,永泽,zh,male,NULL,1900..1930~,,NULL,PL0999,,2,,SS00600,,,,F,N07,,pls check place of birth,2019-12-02,MG,2020-05-20,MG
