!,,,,,,,,,,,,+++,,,,,,+++,+++,+++,,,,,
@@,person_id,family_name,first_name,name_lang,sex,rustication,birthyear,deathyear,alt_name,place_of_birth,social_position,narrative_age,neibu_access,source_1,page_1,source_2,page_2,fictionality,narrative_status,commentary,note,created,created_by,last_modified,last_modified_by
+++,P1120,马,伯庸,zh,male,NULL,1980,,NULL,PL0192,,,,https://en.wikipedia.org/wiki/Ma_Boyong,ONLINE SOURCE,,,,,,,2021-03-04,MG,2021-03-09,MG
+++,P1121,anon,Arvadan,en,male,NULL,2000..2040,,Wang Er,PL0999,,,,SS00665,,,,F,N06,,,2021-03-12,MG,2021-04-06,MG
+++,P1122,Blair,Eric Arthur,en,male,NULL,1903,1950,George Orwell,PL0648,,,,https://en.wikipedia.org/wiki/George_Orwell,ONLINE SOURCE,,,,,,,2021-03-12,MG,2021-03-12,MG
+++,P1122,布莱尔,埃里克·阿瑟,zh,male,NULL,1903,1950,乔治·奥威尔,PL0648,,,,https://en.wikipedia.org/wiki/George_Orwell,ONLINE SOURCE,,,,,,,2021-03-12,MG,2021-03-18,MG
+++,P1123,Duras,anon,en,female,NULL,2000..2040,2000..2040,NULL,PL0999,,,,SS00665,180ff,,,F,N07,,,2021-03-12,MG,2021-04-06,MG
+++,P1124,Xu,Ping,en,male,NULL,,,NULL,PL0999,,,,SS00664,,,,F,N06,,,2021-03-15,MG,2021-03-15,MG
+++,P1125,Wu,Lei,en,male,NULL,,,NULL,PL0999,,,,SS00660,,,,F,N06,,,2021-03-15,MG,2021-03-15,MG
+++,P1126,Wagner,Richard,en,male,NULL,1813,1883,NULL,PL0306,,,,https://en.wikipedia.org/wiki/Richard_Wagner,ONLINE SOURCE,,,,,,,2021-03-15,MG,2021-03-15,MG
+++,P1126,瓦格纳,理查德,zh,male,NULL,1813,1883,NULL,PL0306,,,,https://en.wikipedia.org/wiki/Richard_Wagner,ONLINE SOURCE,,,,,,,2021-03-15,MG,2021-03-18,MG
+++,P1127,Milton,John,en,male,NULL,1608,1674,NULL,PL0649,,,,https://de.wikipedia.org/wiki/John_Milton,ONLINE SOURCE,,,,,,,2021-03-15,MG,2021-03-15,MG
+++,P1127,弥尔顿,约翰,zh,male,NULL,1608,1674,NULL,PL0649,,,,https://de.wikipedia.org/wiki/John_Milton,ONLINE SOURCE,,,,,,,2021-03-23,MG,2021-03-23,MG
+++,P1128,anon,anon,en,unknown,NULL,,,NULL,PL0999,,,,SS00658,,,,F,,omniscient narrator,,2021-03-18,MG,2021-03-18,MG
+++,P1129,anon,Miss G,en,female,NULL,,,NULL,PL0999,,,,SS00658,,,,F,N07,,,2021-03-18,MG,2021-03-18,MG
+++,P1130,Lacan,Jacques,fr,male,NULL,1901,1981,NULL,PL0047,,,,https://en.wikipedia.org/wiki/Jacques_Lacan,ONLINE SOURCE,,,,,,,2021-03-18,MG,2021-03-18,MG
+++,P1130,拉岡,雅各,zh,male,NULL,1901,1981,NULL,PL0047,,,,https://en.wikipedia.org/wiki/Jacques_Lacan,ONLINE SOURCE,,,,,,,2021-03-23,MG,2021-03-23,MG
+++,P1131,of Hippo,Augustine,en,male,NULL,-0354,-0430,NULL,PL0652,,,,https://en.wikipedia.org/wiki/Augustine_of_Hippo,ONLINE SOURCE,,,,,,,2021-03-18,MG,2021-03-18,MG
+++,P1131,anon,希波的奥古斯丁,zh,male,NULL,-0354,-0430,NULL,PL0652,,,,https://en.wikipedia.org/wiki/Augustine_of_Hippo,ONLINE SOURCE,,,,,,,2021-03-23,MG,2021-03-23,MG
+++,P1132,Žižek,Slavoj,en,male,NULL,1949,,NULL,PL0651,,,,https://en.wikipedia.org/wiki/Slavoj_%C5%BDi%C5%BEek,ONLINE SOURCE,,,,,,,2021-03-18,MG,2021-03-18,MG
+++,P1132,齊澤克,斯拉沃熱,zh,male,NULL,1949,,NULL,PL0651,,,,https://en.wikipedia.org/wiki/Slavoj_%C5%BDi%C5%BEek,,,,,,,,2021-03-23,MG,2021-03-23,MG
+++,P1133,Sangye Gyatso,Desi,en,male,NULL,1617,1682,NULL,PL0650,,,,https://en.wikipedia.org/wiki/Desi_Sangye_Gyatso,ONLINE SOURCE,,,,,,,2021-03-18,MG,2021-03-18,MG
+++,P1133,桑吉嘉措,第司,zh,male,NULL,1617,1682,NULL,PL0650,,,,https://en.wikipedia.org/wiki/Desi_Sangye_Gyatso,ONLINE SOURCE,,,,,,,2021-03-18,MG,2021-03-18,MG
+++,P1134,Zhu,Lingyuan,en,male,NULL,1930..1940~,,NULL,PL0999,S03,2,,SS00657,,,,F,N07,,,2021-03-23,MG,2021-03-25,MG
+++,P1134,朱,令垣,zh,male,NULL,1930..1940~,,NULL,PL0999,S03,2,,SS00657,,,,F,N07,,,2021-03-23,MG,2021-03-25,MG
+++,P1135,anon,anon,en,unknown,NULL,1950..1960~,,NULL,PL0999,,0,,SS00657,,,,F,,omniscient narrator,,2021-03-23,MG,2021-03-25,MG
+++,P1136,Newton,Isaac,en,male,NULL,1643,1726..1727,NULL,PL0653,,,,https://en.wikipedia.org/wiki/Isaac_Newton,ONLINE SOURCE,,,,,,,2021-03-23,MG,2021-03-23,MG
+++,P1136,牛顿,艾萨克,zh,male,NULL,1643,1726..1727,NULL,PL0653,,,,https://en.wikipedia.org/wiki/Isaac_Newton,ONLINE SOURCE,,,,,,,2021-03-23,MG,2021-03-23,MG
+++,P1137,Qin,Shihuang,en,male,NULL,-0259,-0210,NULL,PL0001,,,,https://en.wikipedia.org/wiki/Qin_Shi_Huang,ONLINE SOURCE,,,,,,,2021-03-24,MG,2021-03-24,MG
+++,P1137,秦,始皇,zh,male,NULL,-0259,-0210,NULL,PL0001,,,,https://en.wikipedia.org/wiki/Qin_Shi_Huang,ONLINE SOURCE,,,,,,,2021-03-24,MG,2021-03-24,MG
+++,P1138,“Wang”,anon,en,male,NULL,1950..1960~,,NULL,PL0999,,1,,SS00657,,,,F,N07,,,2021-03-24,MG,2021-03-25,MG
+++,P1138,“王”,anon,zh,male,NULL,1950..1960~,,NULL,PL0999,,1,,SS00657,,,,F,N07,,,2021-03-24,MG,2021-03-25,MG
+++,P1139,Feng,Huachuan,en,male,NULL,1950..1960~,,NULL,PL0999,,1,,SS00657,,,,F,N07,,,2021-03-24,MG,2021-03-25,MG
+++,P1139,丰,华川,zh,male,NULL,1950..1960~,,NULL,PL0999,,1,,SS00657,,,,F,N07,,,2021-03-24,MG,2021-03-25,MG
+++,P1141,Li,Wenjian,en,male,NULL,1900..1980~,,NULL,PL0999,,2,,SS00652,,,,F,N07,,,2021-03-26,MG,2021-03-26,MG
+++,P1142,李,文建,zh,male,NULL,1900..1980~,,NULL,PL0999,,2,,SS00652,,,,F,N07,,,2021-03-26,MG,2021-03-26,MG
+++,P1143,Song,Geng,en,male,NULL,1900..1980~,,NULL,PL0999,,,,http://web.chinese.hku.hk/main/staff/academic-staff/dr-song-geng/,ONLINE SOURCE,,,,,,,2021-04-06,MG,2021-04-06,MG
+++,P1143,宋,耕,zh,male,NULL,1900..1980~,,NULL,PL0999,,,,http://web.chinese.hku.hk/main/staff/academic-staff/dr-song-geng/,ONLINE SOURCE,,,,,,,2021-04-06,MG,2021-04-06,MG
+++,P1144,Yang,Qingxiang,en,male,NULL,1980,,NULL,PL0656,,,,https://baike.baidu.com/item/%E6%9D%A8%E5%BA%86%E7%A5%A5/13861709,ONLINE SOURCE,,,,,,,2021-04-06,MG,2021-04-06,MG
+++,P1144,杨,庆祥,zh,male,NULL,1980,,NULL,PL0656,,,,https://baike.baidu.com/item/%E6%9D%A8%E5%BA%86%E7%A5%A5/13861709,ONLINE SOURCE,,,,,,,2021-04-06,MG,2021-04-06,MG
+++,P1145,Song,Mingwei,en,male,NULL,1900..1980~,,NULL,PL0999,,,,https://www.wellesley.edu/ealc/faculty/songm,ONLINE SOURCE,,,,,,,2021-04-06,MG,2021-04-06,MG
+++,P1145,宋,明炜,zh,male,NULL,1900..1980~,,NULL,PL0999,,,,https://www.wellesley.edu/ealc/faculty/songm,ONLINE SOURCE,,,,,,,2021-04-06,MG,2021-04-06,MG
+++,P1146,Huters,Theodore,en,male,NULL,1947,,NULL,PL0999,,,,https://www.alc.ucla.edu/person/theodore-d-huters/,ONLINE SOURCE,,,,,,,2021-04-06,MG,2021-04-06,MG
+++,P1147,Wu,Dingbo,en,male,unknown,1941,,NULL,PL0003,,,,http://www.sf-encyclopedia.com/entry/wu_dingbo,ONLINE SOURCE,,,,,,,2021-04-06,MG,2021-04-06,MG
+++,P1147,吴,定柏,zh,male,unknown,1941,,NULL,PL0003,,,,http://www.sf-encyclopedia.com/entry/wu_dingbo,ONLINE SOURCE,,,,,,,2021-04-06,MG,2021-04-06,MG
+++,P1148,Murphy,Patrick D.,en,male,NULL,1951,,NULL,PL0657,,,,https://ucf.academia.edu/pmurphy/CurriculumVitae,ONLINE SOURCE,,,,,,,2021-04-06,MG,2021-04-06,MG
+++,P1149,anon,Little Smarty,en,male,NULL,1960..1980~,,NULL,PL0999,,1,,SS00666,,SS00655,,F,N06,,,2021-04-15,MG,2021-04-15,MG
+++,P1150,anon,Little Tiger,en,male,NULL,1960..1980~,,NULL,PL0999,,1,,SS00666,,SS00655,,F,N07,,,2021-04-15,MG,2021-04-15,MG
+++,P1151,anon,Little Swallow,en,female,NULL,1960..1980~,,NULL,PL0999,,1,,SS00666,,SS00655,,F,N07,,,2021-04-15,MG,2021-04-15,MG
+++,P1152,anon,anon,en,unknown,NULL,1950..1970~,,editor,PL0999,,2,,SS00655,,,,F,,,,2021-04-15,MG,2021-04-15,MG
+++,P1153,anon,Great-Granddad,en,male,NULL,1900..1950~,,NULL,PL0999,,3,,SS00666,125,,,F,N07,,,2021-04-15,MG,2021-04-15,MG
+++,P1154,anon,Chang’e,en,female,NULL,,,NULL,PL0999,,,,https://en.wikipedia.org/wiki/Chang%27e,ONLINE SOURCE,,,F,,,,2021-04-15,MG,2021-04-15,MG
+++,P1154,anon,嫦娥,zh,female,NULL,,,NULL,PL0999,,,,https://en.wikipedia.org/wiki/Chang%27e,ONLINE SOURCE,,,F,,,,2021-04-15,MG,2021-04-15,MG
+++,P1155,anon,anon,en,male,NULL,,,NULL,PL0999,,2,,SS00651,,,,F,,first person narrator,,2021-05-05,MG,2021-05-05,MG
+++,P1156,Zhaozhou,Congshen,en,male,NULL,0778,0897,NULL,PL0001,,,,https://en.wikipedia.org/wiki/Zhaozhou_Congshen,ONLINE SOURCE,,,,,,,2021-05-05,MG,2021-07-25,MG
+++,P1156,趙州,從諗,zh,male,NULL,0778,0897,NULL,PL0001,,,,https://en.wikipedia.org/wiki/Zhaozhou_Congshen,ONLINE SOURCE,,,,,,,2021-05-05,MG,2021-07-25,MG
+++,P1157,anon,abbot,en,male,NULL,,,NULL,PL0999,,,,SS00651,405,,,F,,calls himself a Technologist-Buddhist,,2021-05-05,MG,2021-05-05,MG
+++,P1158,Clarke,Arthur C.,en,male,NULL,1917,2008,NULL,PL0658,,,,https://en.wikipedia.org/wiki/Arthur_C._Clarke,ONLINE SOURCE,,,,,,,2021-05-05,MG,2021-05-05,MG
+++,P1158,克拉克,亚瑟·查理斯,zh,male,NULL,1917,2008,NULL,PL0658,,,,https://en.wikipedia.org/wiki/Arthur_C._Clarke,ONLINE SOURCE,,,,,,,2021-05-05,MG,2021-05-05,MG
+++,P1159,Tang,Jiaming,en,female,NULL,1980~,,NULL,PL0999,,2,,SS00648,83-109,,,F,,,,2021-06-05,MG,2021-06-05,MG
+++,P1159,糖,,zh,female,NULL,1980~,,NULL,PL0999,,2,,SS00648,83-109,,,F,,,,2021-06-05,MG,2021-06-05,MG
+++,P1160,Brightman,Sarah,en,female,NULL,1960,,NULL,PL0158,,,,https://en.wikipedia.org/wiki/Sarah_Brightman,ONLINE SOURCE,,,,,,,2021-06-05,MG,2021-06-05,MG
+++,P1160,布萊曼,莎拉,zh,female,NULL,1960,,NULL,PL0158,,,,https://en.wikipedia.org/wiki/Sarah_Brightman,ONLINE SOURCE,,,,,,,2021-06-05,MG,2021-06-05,MG
+++,P1161,Brin,David,en,male,NULL,1950,,NULL,PL0659,,,,https://en.wikipedia.org/wiki/David_Brin,ONLINE SOURCE,,,,,,,2021-06-07,MG,2021-06-07,MG
+++,P1161,布林,大衛,zh,male,NULL,1950,,NULL,PL0659,,,,https://en.wikipedia.org/wiki/David_Brin,ONLINE SOURCE,,,,,,,2021-06-07,MG,2021-06-07,MG
+++,P1162,anon,anon,en,unknown,NULL,,,NULL,PL0999,,2,,SS00647,139-148,,,F,,first person narrator,,2021-06-07,MG,2021-06-07,MG
+++,P1163,Ah,Chen,en,male,NULL,,,NULL,PL0999,,,,SS00645,327-340,,,F,N06,,,2021-06-09,MG,2021-06-09,MG
+++,P1164,Adams,Douglas,en,male,NULL,1952,2001,NULL,PL0660,,,,https://en.wikipedia.org/wiki/Douglas_Adams,ONLINE SOURCE,,,,,,,2021-06-09,MG,2021-06-09,MG
+++,P1164,亚当斯,道格拉斯,zh,male,NULL,1952,2001,NULL,PL0660,,,,https://en.wikipedia.org/wiki/Douglas_Adams,ONLINE SOURCE,,,,,,,2021-06-09,MG,2021-06-09,MG
+++,P1165,anon,anon,en,unknown,NULL,,,NULL,PL0999,,,,SS00645,327-340,,,F,,omniscient narrator,,2021-06-14,MG,2021-06-14,MG
+++,P1166,anon,anon,en,male,NULL,,,father,PL0999,,,,SS00645,327-340,,,F,N07,,,2021-06-14,MG,2021-06-14,MG
+++,P1167,Salinger,Jerome David,en,male,NULL,,,NULL,PL0999,,3,,SS00644,125-133,,,F,N06,,,2021-06-14,MG,2021-06-14,MG
+++,P1168,anon,anon,en,unknown,NULL,,,NULL,PL0999,,,,SS00644,125-133,,,F,,omniscient narrator,,2021-06-14,MG,2021-06-14,MG
+++,P1169,Helder,Herberto,en,male,NULL,1930,2015,NULL,PL0661,,,,https://de.wikipedia.org/wiki/Herberto_Helder,ONLINE SOURCE,,,,,,,2021-06-14,MG,2021-06-14,MG
+++,P1169,anon,赫伯托,zh,male,NULL,1930,2015,NULL,PL0661,,,,https://de.wikipedia.org/wiki/Herberto_Helder,ONLINE SOURCE,,,,,,,2021-06-14,MG,2021-07-25,MG
+++,P1170,anon,Ning,en,unknown,NULL,,,NULL,PL0999,,1,,SS00641,91-109,,,F,,first person narrator,,2021-06-14,MG,2021-06-14,MG
+++,P1171,Lamarck,Jean-Baptiste,fr,male,NULL,1744,1829,NULL,PL0662,,,,https://en.wikipedia.org/wiki/Jean-Baptiste_Lamarck,ONLINE SOURCE,,,,,,,2021-06-14,MG,2021-06-14,MG
+++,P1171,拉马克,让-巴蒂斯特,zh,male,NULL,1744,1829,NULL,PL0662,,,,https://en.wikipedia.org/wiki/Jean-Baptiste_Lamarck,ONLINE SOURCE,,,,,,,2021-06-14,MG,2021-06-14,MG
+++,P1172,Polo,Marco,en,male,NULL,1254,1324,NULL,PL0663,,,,https://en.wikipedia.org/wiki/Marco_Polo,ONLINE SOURCE,,,,,,,2021-06-14,MG,2021-06-14,MG
+++,P1172,波罗,马可,zh,male,NULL,1254,1324,NULL,PL0663,,,,https://en.wikipedia.org/wiki/Marco_Polo,ONLINE SOURCE,,,,,,,2021-06-14,MG,2021-06-14,MG
+++,P1173,anon,Homer,en,male,NULL,,,NULL,PL0999,,,,https://en.wikipedia.org/wiki/Homer,ONLINE SOURCE,,,,,,,2021-06-14,MG,2021-06-14,MG
+++,P1173,anon,荷马,zh,male,NULL,,,NULL,PL0999,,,,https://en.wikipedia.org/wiki/Homer,ONLINE SOURCE,,,,,,,2021-06-14,MG,2021-06-14,MG
+++,P1174,anon,anon,en,male,NULL,,,NULL,PL0999,,,,SS00636,199-218,,,F,,first person narrator,,2021-06-14,MG,2021-06-14,MG
+++,P1175,anon,anon,en,male,NULL,,,NULL,PL0999,,,,SS00639,313-353,,,F,,first person narrator,,2021-06-15,MG,2021-06-15,MG
+++,P1176,Nashihiko,Imagai,ja,male,NULL,,,NULL,PL0999,,,,SS00639,313-353,,,F,N07,,,2021-06-15,MG,2021-06-23,MG
+++,P1177,Li,Shimin,en,male,NULL,0598,0649,Taizong Emperor of Tang,PL0665,,,,https://en.wikipedia.org/wiki/Emperor_Taizong_of_Tang,ONLINE SOURCE,,,,,,,2021-06-16,MG,2021-06-16,MG
+++,P1177,李,世民,zh,male,NULL,0598,0649,唐太宗,PL0665,,,,https://en.wikipedia.org/wiki/Emperor_Taizong_of_Tang,ONLINE SOURCE,,,,,,,2021-06-16,MG,2021-06-16,MG
+++,P1178,anon,anon,en,male,NULL,,,NULL,PL0999,,,,SS00634,51-68,,,F,,first person narrator,,2021-06-21,MG,2021-06-21,MG
+++,P1179,anon,teacher,en,male,NULL,1960..1980~,,NULL,PL0999,,,,SS00628,49-75,,,F,N06,,,2021-06-21,MG,2021-06-23,MG
+++,P1180,anon,Xiu Xiu,en,female,NULL,1960..1980~,,NULL,PL0999,,,,SS00628,49-75,,,F,N07,,,2021-06-21,MG,2021-06-23,MG
+++,P1181,anon,anon,en,unknown,NULL,,,NULL,PL0999,,,,SS00628,49-75,,,F,,omniscient narrator,,2021-06-21,MG,2021-06-21,MG
+++,P1182,Li,Yu,en,male,NULL,0937,0978,Li Houzhu,PL0090,,,,https://en.wikipedia.org/wiki/Li_Yu_(Southern_Tang),ONLINE SOURCE,,,,,,,2021-06-21,MG,2021-06-21,MG
+++,P1182,李,煜,zh,male,NULL,0937,0978,李後主,PL0090,,,,https://en.wikipedia.org/wiki/Li_Yu_(Southern_Tang),ONLINE SOURCE,,,,,,,2021-06-21,MG,2021-06-21,MG
+++,P1183,anon,anon,en,male,NULL,,,NULL,PL0999,,,,SS00625,157-165,,,F,N06,,,2021-06-21,MG,2021-06-23,MG
+++,P1184,anon,clone wife,en,female,NULL,,,NULL,PL0999,,,,SS00625,157-165,,,F,N07,,,2021-06-21,MG,2021-06-23,MG
+++,P1185,Hou,Yi,en,male,NULL,,,NULL,PL0999,,,,https://en.wikipedia.org/wiki/Hou_Yi,ONLINE SOURCE,,,F,,,,2021-06-22,MG,2021-06-22,MG
+++,P1185,后,羿,zh,male,NULL,,,NULL,PL0999,,,,https://en.wikipedia.org/wiki/Hou_Yi,ONLINE SOURCE,,,F,,,,2021-06-22,MG,2021-06-22,MG
+++,P1186,anon,anon,en,unknown,NULL,,,NULL,PL0999,,,,SS00613,283-311,,,F,,first person narrator,,2021-06-22,MG,2021-06-22,MG
+++,P1187,Shi,Bo,en,male,NULL,,,NULL,PL0999,,,,SS00614,99-130,,,F,N06,,,2021-06-22,MG,2021-06-23,MG
+++,P1188,Butler,Samuel,en,male,NULL,1835,1902,NULL,PL0667,,,,https://en.wikipedia.org/wiki/Samuel_Butler_(novelist),ONLINE SOURCE,,,,,,,2021-06-22,MG,2021-06-22,MG
+++,P1188,巴特勒,塞繆爾,zh,male,NULL,1835,1902,NULL,PL0667,,,,https://en.wikipedia.org/wiki/Samuel_Butler_(novelist),ONLINE SOURCE,,,,,,,2021-06-22,MG,2021-06-22,MG
+++,P1189,Ashby,Ross,en,male,NULL,1903,1972,NULL,PL0036,,,,https://en.wikipedia.org/wiki/W._Ross_Ashby,ONLINE SOURCE,,,,,,,2021-06-22,MG,2021-06-22,MG
+++,P1189,阿什比,罗斯,zh,male,NULL,1903,1972,NULL,PL0036,,,,https://en.wikipedia.org/wiki/W._Ross_Ashby,ONLINE SOURCE,,,,,,,2021-06-22,MG,2021-07-25,MG
+++,P1190,Wiener,Norbert,en,male,NULL,1894,1964,NULL,PL0668,,,,https://en.wikipedia.org/wiki/Norbert_Wiener,ONLINE SOURCE,,,,,,,2021-06-22,MG,2021-06-22,MG
+++,P1190,維納,諾伯特,zh,male,NULL,1894,1964,NULL,PL0668,,,,https://en.wikipedia.org/wiki/Norbert_Wiener,ONLINE SOURCE,,,,,,,2021-06-22,MG,2021-06-22,MG
+++,P1191,Simon,Seymour,en,male,NULL,1931,,NULL,PL0050,,,,https://en.wikipedia.org/wiki/Seymour_Simon_(author),ONLINE SOURCE,,,,,,,2021-06-22,MG,2021-06-22,MG
+++,P1192,anon,anon,en,unknown,NULL,,,NULL,PL0999,,,,SS00614,99-130,,,F,,,,2021-06-22,MG,2021-06-22,MG
+++,P1193,Wang,Cong,en,male,NULL,,,NULL,PL0999,,,,SS00612,135-156,,,F,N07,,,2021-06-22,MG,2021-06-23,MG
+++,P1194,anon,anon,en,male,NULL,,,NULL,PL0999,,,,SS00616,169-194,,,F,N07,,,2021-06-22,MG,2021-06-23,MG
+++,P1195,anon,anon,en,female,NULL,,,NULL,PL0999,,,,SS00616,169-194,,,F,N07,,,2021-06-22,MG,2021-06-23,MG
+++,P1196,Xi,Shi,en,female,NULL,-0700..-0600,-0700..-0600,Shi Yiguang,PL0001,,,,https://en.wikipedia.org/wiki/Xi_Shi,ONLINE SOURCE,,,,,,,2021-06-23,MG,2021-06-23,MG
+++,P1196,西,施,zh,female,NULL,-0700..-0600,-0700..-0600,施夷光,PL0001,,,,https://en.wikipedia.org/wiki/Xi_Shi,ONLINE SOURCE,,,,,,,2021-06-23,MG,2021-06-23,MG
+++,P1197,Wang,Qiang,en,unknown,NULL,,,NULL,PL0999,,,,http://none,,,,,,,please check,2021-06-23,MG,2021-06-23,MG
+++,P1198,Ying,Ying,en,unknown,NULL,,,NULL,PL0999,,,,http://none,,,,,,,please check,2021-06-23,MG,2021-07-25,MG
+++,P1199,Yang,Yuhuan,en,male,NULL,0719,0756,Yang Guifei,PL0674,,,,https://en.wikipedia.org/wiki/Yang_Guifei,ONLINE SOURCE,,,,,,,2021-06-23,MG,2021-06-23,MG
+++,P1199,楊,玉環,zh,male,NULL,0719,0756,楊貴妃,PL0674,,,,https://en.wikipedia.org/wiki/Yang_Guifei,ONLINE SOURCE,,,,,,,2021-06-23,MG,2021-06-23,MG
+++,P1200,Qu,Feiyan,en,female,NULL,,,NULL,PL0999,,,,PS00894,,,,F,N07,,,2021-06-23,MG,2021-06-23,MG
+++,P1200,曲,非煙,zh,female,NULL,,,NULL,PL0999,,,,PS00894,,,,F,N07,,,2021-06-23,MG,2021-06-23,MG
+++,P1201,Lü,Zhu,en,unknown,NULL,,,NULL,PL0999,,,,http://none,,,,,,,please check,2021-06-23,MG,2021-07-25,MG
+++,P1202,Zhuo,Wenjun,en,unknown,NULL,,,NULL,PL0999,,,,http://none,,,,,,,please check,2021-06-23,MG,2021-07-25,MG
+++,P1203,anon,Helena,en,female,NULL,,,NULL,PL0999,,,,PS00897,,PS00880,,,,,,2021-06-23,MG,2021-07-02,MG
+++,P1203,anon,海伦,zh,female,NULL,,,NULL,PL0999,,,,PS00897,,PS00880,,,,,,2021-07-02,MG,2021-07-02,MG
+++,P1204,anon,Agulina,en,female,NULL,,,NULL,PL0999,,,,PS09999,,,,F,,,,2021-06-23,MG,2021-07-25,MG
+++,P1205,anon,Desdemona,en,female,NULL,,,NULL,PL0663,,,,PS00893,,,,F,N07,,,2021-06-23,MG,2021-06-23,MG
+++,P1205,anon,苔丝狄蒙娜,zh,female,NULL,,,NULL,PL0663,,,,PS00893,,,,F,N07,,,2021-06-23,MG,2021-06-23,MG
+++,P1206,Asimov,Issac,en,male,NULL,1920,1992,NULL,PL0669,,,,https://en.wikipedia.org/wiki/Isaac_Asimov,ONLINE SOURCE,,,,,,,2021-06-23,MG,2021-06-23,MG
+++,P1206,阿西莫夫,艾萨克,zh,male,NULL,1920,1992,NULL,PL0669,,,,https://en.wikipedia.org/wiki/Isaac_Asimov,ONLINE SOURCE,,,,,,,2021-06-23,MG,2021-06-23,MG
+++,P1207,Mendeleev,Dimitri,en,male,NULL,1834,1907,NULL,PL0670,,,,https://en.wikipedia.org/wiki/Dmitri_Mendeleev,ONLINE SOURCE,,,,,,,2021-06-23,MG,2021-06-23,MG
+++,P1207,门捷列夫,德米特里,zh,male,NULL,1834,1907,NULL,PL0670,,,,https://en.wikipedia.org/wiki/Dmitri_Mendeleev,ONLINE SOURCE,,,,,,,2021-06-23,MG,2021-06-23,MG
+++,P1208,Laozi,anon,en,male,NULL,-0600..-0400,-0600..-0400,NULL,PL0001,,,,https://en.wikipedia.org/wiki/Laozi,ONLINE SOURCE,,,,,,,2021-06-23,MG,2021-06-23,MG
+++,P1208,老子,anon,zh,male,NULL,-0600..-0400,-0600..-0400,NULL,PL0001,,,,https://en.wikipedia.org/wiki/Laozi,ONLINE SOURCE,,,,,,,2021-06-23,MG,2021-06-23,MG
+++,P1209,Mozi,anon,en,male,NULL,-0470,-0391,NULL,PL0671,,,,https://en.wikipedia.org/wiki/Mozi,ONLINE SOURCE,,,,,,,2021-06-23,MG,2021-06-23,MG
+++,P1209,墨子,anon,zh,male,NULL,-0470,-0391,NULL,PL0671,,,,https://en.wikipedia.org/wiki/Mozi,ONLINE SOURCE,,,,,,,2021-06-23,MG,2021-06-23,MG
+++,P1210,Feuerbach,Ludwig,en,male,NULL,1804,1872,NULL,PL0672,,,,https://en.wikipedia.org/wiki/Ludwig_Feuerbach,ONLINE SOURCE,,,,,,,2021-06-23,MG,2021-06-23,MG
+++,P1210,费尔巴哈,路德维希,zh,male,NULL,1804,1872,NULL,PL0672,,,,https://en.wikipedia.org/wiki/Ludwig_Feuerbach,ONLINE SOURCE,,,,,,,2021-06-23,MG,2021-06-23,MG
+++,P1211,Heidegger,Martin,en,male,NULL,1889,1976,NULL,PL0673,,,,https://en.wikipedia.org/wiki/Martin_Heidegger,ONLINE SOURCE,,,,,,,2021-06-23,MG,2021-06-23,MG
+++,P1211,海德格尔,马丁,zh,male,NULL,1889,1976,NULL,PL0673,,,,https://en.wikipedia.org/wiki/Martin_Heidegger,ONLINE SOURCE,,,,,,,2021-06-23,MG,2021-06-23,MG
+++,P1212,Mendelssohn,Felix,en,male,NULL,1809,1847,NULL,PL0048,,,,https://en.wikipedia.org/wiki/Felix_Mendelssohn,ONLINE SOURCE,,,,,,,2021-06-23,MG,2021-06-23,MG
+++,P1212,门德尔松,费利克斯,zh,male,NULL,1809,1847,NULL,PL0048,,,,https://en.wikipedia.org/wiki/Felix_Mendelssohn,ONLINE SOURCE,,,,,,,2021-06-23,MG,2021-06-23,MG
+++,P1213,Moleschott,Jacob,en,male,NULL,1822,1893,NULL,PL0675,,,,https://en.wikipedia.org/wiki/Jacob_Moleschott,ONLINE SOURCE,,,,,,,2021-07-02,MG,2021-07-02,MG
+++,P1213,莫莱肖特,雅各布,zh,male,NULL,1822,1893,NULL,PL0675,,,,https://en.wikipedia.org/wiki/Jacob_Moleschott,ONLINE SOURCE,,,,,,,2021-07-02,MG,2021-07-02,MG
+++,P1214,Zha,Liangyong,en,male,NULL,1924,2018,Jin Yong,PL0316,,,,https://en.wikipedia.org/wiki/Jin_Yong,ONLINE SOURCE,,,,,,,2021-07-02,MG,2021-07-03,MG
+++,P1214,查,良镛,zh,male,NULL,1924,2018,金庸,PL0316,,,,https://en.wikipedia.org/wiki/Jin_Yong,ONLINE SOURCE,,,,,,,2021-07-02,MG,2021-07-02,MG
+++,P1215,anon,anon,en,male,NULL,,,NULL,PL0999,,,,SS00611,,,,F,,,,2021-07-03,MG,2021-07-03,MG
+++,P1216,anon,anon,en,male,NULL,,,NULL,PL0999,,,,SS00611,,,,F,N07,,,2021-07-03,MG,2021-07-03,MG
+++,P1217,anon,Lili,en,female,NULL,,,NULL,PL0999,,,,SS00611,,,,F,N07,robot wife,,2021-07-03,MG,2021-07-03,MG
+++,P1218,Sun,Zi,en,male,NULL,-0544,-0496,NULL,PL0999,,,,https://en.wikipedia.org/wiki/Sun_Tzu,ONLINE SOURCE,,,,,,,2021-07-09,MG,2021-07-09,MG
